player_id,matches,innings,runs,highest_score,average,strike_rate,centuries,fifties,fours,sixes
P0001,15,15,759,108*,54.21,156.17,1,6,88,21
P0002,16,16,717,73*,65.18,167.91,0,5,69,38
P0003,15,15,657,73*,54.75,144.71,0,8,66,19
P0004,15,15,650,93*,50,155.87,0,6,62,24
P0005,13,13,627,117,48.23,163.7,1,6,56,37
P0006,17,17,604,97*,50.33,175.07,0,6,43,39
P0007,14,14,559,75,43,159.71,0,6,60,28
P0008,17,17,549,91,32.29,160.52,0,4,56,30
P0009,13,13,539,112*,53.9,149.72,1,3,52,21
P0010,14,13,538,97*,59.78,163.03,0,5,52,24
P0011,14,14,524,87*,43.67,196.25,0,5,45,40
P0012,13,13,487,105*,44.27,172.69,1,1,42,25
P0013,17,17,475,103,27.94,179.24,1,2,55,25
P0014,13,13,445,66,34.23,148.82,0,5,38,22
P0015,14,13,439,141,33.77,193.39,1,2,46,28
P0016,15,15,418,81,29.86,149.28,0,4,41,22
P0017,13,13,403,65,33.58,175.98,0,4,48,22
P0018,14,14,393,95,32.75,166.52,0,1,27,27
P0019,13,12,390,61,35.45,147.72,0,3,36,20
P0020,14,14,388,62*,29.85,150.97,0,3,47,17
P0021,13,12,374,76,31.17,162.6,0,3,50,15
P0022,16,15,369,70,30.75,145.84,0,2,28,21
P0023,14,14,357,50,32.45,132.22,0,1,22,21
P0024,14,13,354,106*,35.4,152.58,1,1,33,15
P0025,17,14,350,61*,50,153.5,0,3,23,18
P0026,16,13,343,59,31.18,138.3,0,2,23,16
P0027,14,13,333,70,37,156.33,0,2,22,22
P0028,14,11,329,74,32.9,148.19,0,2,27,14
P0029,15,14,312,64,24,143.77,0,2,25,14
P0030,13,13,301,51,25.08,146.82,0,1,28,12
P0031,14,14,301,77*,33.44,135.58,0,2,25,10
P0032,14,13,300,41*,50,150.75,0,0,25,11
P0033,12,11,300,50,33.33,139.53,0,1,30,8
P0034,13,11,291,46,32.33,157.29,0,0,22,18
P0035,9,9,285,66,35.63,140.39,0,1,27,13
P0036,11,11,278,73,30.89,162.57,0,1,26,16
P0037,14,13,269,118*,24.45,133.16,1,1,23,16
P0038,12,11,263,43,26.3,157.48,0,0,23,15
P0039,15,11,261,85*,37.29,176.35,0,1,24,17
P0040,7,7,252,101,36,206.55,1,1,18,24
P0041,16,12,252,46,31.5,182.6,0,0,24,13
P0042,10,10,247,61,27.44,150.6,0,2,21,14
P0043,12,12,246,44,22.36,170.83,0,0,25,19
P0044,7,7,240,94,34.29,188.97,0,1,31,11
P0045,14,13,239,52,21.73,145.73,0,1,17,11
P0046,14,12,236,74,26.22,166.19,0,1,12,20
P0047,13,11,233,53,23.3,135.46,0,1,22,11
P0048,6,6,225,57,37.5,180,0,2,13,17
P0049,15,12,224,48*,24.89,163.5,0,0,18,12
P0050,11,11,217,81,21.7,161.94,0,2,27,9
P0051,13,11,206,38*,29.43,153.73,0,0,20,10
P0052,13,9,204,66*,29.14,160.62,0,1,14,13
P0053,9,9,202,62,22.44,123.92,0,2,18,8
P0054,8,8,198,89,24.75,172.17,0,1,24,10
P0055,14,13,196,30*,24.5,135.17,0,0,12,12
P0056,8,8,191,65*,27.29,128.18,0,1,18,4
P0057,12,9,187,50*,62.33,185.14,0,1,16,14
P0058,13,11,182,32,22.75,118.95,0,0,16,4
P0059,15,11,179,57,29.83,179,0,1,11,13
P0060,13,10,167,57*,18.56,163.72,0,1,16,14
P0061,13,12,164,45,20.5,176.34,0,0,8,14
P0062,13,11,160,44*,26.67,186.04,0,0,8,15
P0063,6,6,156,69,26,131.09,0,2,17,4
P0064,11,11,153,27*,30.6,127.5,0,0,13,4
P0065,8,8,152,97*,21.71,129.91,0,1,9,11
P0066,14,8,142,39,20.29,179.74,0,0,15,8
P0067,11,7,142,60,20.29,139.21,0,1,15,4
P0068,6,5,133,49,26.6,166.25,0,0,10,7
P0069,5,5,122,63,24.4,150.61,0,2,14,4
P0070,5,4,121,58*,40.33,153.16,0,1,11,7
P0071,6,5,118,69*,39.33,129.67,0,1,8,3
P0072,5,5,114,88,22.8,135.71,0,1,11,4
P0073,10,8,112,54,16,133.33,0,1,4,9
P0074,15,7,109,73*,18.17,126.74,0,1,9,4
P0075,9,8,106,34*,26.5,160.6,0,0,6,8
P0076,15,12,99,24*,12.38,167.79,0,0,6,7
P0077,14,9,97,22*,24.25,167.24,0,0,6,7
P0078,4,4,95,41*,31.67,148.43,0,0,10,2
P0079,3,3,92,37,46,141.53,0,0,5,5
P0080,5,5,92,32*,30.67,133.33,0,0,7,2
P0081,2,2,85,47,42.5,184.78,0,0,7,5
P0082,14,8,75,34*,18.75,119.04,0,0,3,4
P0083,5,5,74,35,18.5,139.62,0,0,10,3
P0084,5,5,71,27,14.2,112.69,0,0,9,2
P0085,8,3,70,53*,35,291.66,0,1,5,7
P0086,3,3,68,37,22.67,212.5,0,0,5,6
P0087,2,2,67,55,33.5,171.79,0,1,9,3
P0088,12,7,63,30,10.5,126,0,0,3,4
P0089,8,5,61,43,12.2,100,0,0,2,4
P0090,9,5,57,21*,14.25,139.02,0,0,6,3
P0091,13,7,57,34,14.25,107.54,0,0,5,3
P0092,6,6,55,38,9.17,105.76,0,0,7,2
P0093,5,5,55,23,11,96.49,0,0,6,1
P0094,7,6,48,30,8,97.95,0,0,5,1
P0095,2,2,47,27,23.5,146.87,0,0,3,3
P0096,11,7,47,22,9.4,134.28,0,0,1,4
P0097,15,8,40,12,8,142.85,0,0,2,3
P0098,13,8,40,18*,20,121.21,0,0,2,3
P0099,14,4,37,28*,37,148,0,0,3,2
P0100,9,4,33,13,8.25,110,0,0,3,1
P0101,7,5,31,22,6.2,75.6,0,0,2,1
P0102,9,5,23,20,11.5,121.05,0,0,0,3
P0103,1,1,22,22,22,137.5,0,0,0,2
P0104,13,4,21,19*,21,175,0,0,3,1
P0105,13,4,21,12*,10.5,80.76,0,0,0,0
P0106,1,1,20,20,20,200,0,0,1,2
P0107,10,5,18,6,6,150,0,0,3,0
P0108,14,5,18,7,6,112.5,0,0,2,0
P0109,4,2,17,12,8.5,154.54,0,0,2,1
P0110,3,2,15,11*,-,214.28,0,0,1,1
P0111,8,5,14,5*,7,116.66,0,0,2,0
P0112,1,1,14,14,14,116.66,0,0,1,1
P0113,14,6,14,8,4.67,56,0,0,1,0
P0114,1,1,13,13,13,144.44,0,0,3,0
P0115,11,3,13,13,6.5,81.25,0,0,0,2
P0116,8,2,11,7*,11,84.61,0,0,0,1
P0117,4,1,11,11,11,73.33,0,0,1,0
P0118,9,4,10,6*,10,100,0,0,1,0
P0119,6,3,10,8*,-,71.42,0,0,0,0
P0120,11,4,10,5,5,37.03,0,0,0,0
P0121,4,2,9,7*,9,112.5,0,0,0,1
P0122,3,1,9,9,9,112.5,0,0,1,0
P0123,1,1,9,9,9,81.81,0,0,1,0
P0124,11,5,9,4,1.8,60,0,0,0,0
P0125,2,1,8,8*,-,400,0,0,2,0
P0126,3,1,8,8*,-,200,0,0,0,0
P0127,10,4,7,3,7,87.5,0,0,0,0
P0128,5,3,7,4,2.33,63.63,0,0,0,0
P0129,14,6,7,2*,1.75,41.17,0,0,0,0
P0130,6,2,6,6*,6,300,0,0,0,1
P0131,10,1,6,6*,-,120,0,0,0,0
P0132,11,6,6,2*,3,60,0,0,0,0
P0133,2,2,6,3,3,40,0,0,0,0
P0134,2,1,5,5,5,100,0,0,1,0
P0135,15,3,5,3,1.67,50,0,0,0,0
P0136,6,2,5,4*,-,50,0,0,0,0
P0137,6,2,5,5,2.5,35.71,0,0,0,0
P0138,4,1,4,4*,-,400,0,0,1,0
P0139,15,3,4,3,2,50,0,0,0,0
P0140,4,1,4,4*,-,44.44,0,0,0,0
P0141,1,1,3,3,3,75,0,0,0,0
P0142,15,1,3,3*,-,75,0,0,0,0
P0143,4,2,3,2,1.5,60,0,0,0,0
P0144,4,3,3,3*,1.5,42.85,0,0,0,0
P0145,5,1,2,2*,-,100,0,0,0,0
P0146,16,2,2,1*,2,66.66,0,0,0,0
P0147,4,2,2,1*,-,50,0,0,0,0
P0148,17,2,2,1*,2,33.33,0,0,0,0
P0149,13,1,1,1*,-,100,0,0,0,0
P0150,2,1,1,1*,-,100,0,0,0,0
P0151,6,1,1,1*,-,100,0,0,0,0
P0152,14,2,1,1*,-,50,0,0,0,0
P0153,8,2,1,1*,1,33.33,0,0,0,0
P0154,1,1,1,1,1,33.33,0,0,0,0
P0155,13,2,1,1,1,33.33,0,0,0,0
P0156,1,1,1,1,1,25,0,0,0,0
